"GEO_ID","NAME","B20017H_001E","B20017H_001M","B20017H_002E","B20017H_002M","B20017H_003E","B20017H_003M","B20017H_004E","B20017H_004M","B20017H_005E","B20017H_005M","B20017H_006E","B20017H_006M","B20017H_007E","B20017H_007M"
"id","Geographic Area Name","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Total","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Total","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Total","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Total","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Worked full-time, year-round in the past 12 months","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Worked full-time, year-round in the past 12 months","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Other","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Male --!!Other","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Total","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Total","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Worked full-time, year-round in the past 12 months","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Worked full-time, year-round in the past 12 months","Estimate!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Other","Margin of Error!!Median earnings in the past 12 months (in 2018 inflation-adjusted dollars) --!!Female --!!Other"
"0500000US12085","Martin County, Florida","37926","6551","49933","4737","60397","6716","20491","5874","30055","4702","41272","2833","14598","3139"
"0500000US12086","Miami-Dade County, Florida","47190","2837","55455","3012","70386","4126","20240","3760","39151","2894","54009","4135","13250","2821"
"0500000US12087","Monroe County, Florida","40432","4024","50054","5513","58432","10061","21854","7464","30852","5046","41144","6329","15254","3818"
"0500000US12089","Nassau County, Florida","34579","3776","41413","9745","56208","7458","10582","3604","30089","4415","39837","5613","11109","3457"
"0500000US12091","Okaloosa County, Florida","35129","2444","42780","4030","59217","8153","10600","1943","26336","1528","38378","1897","10296","1690"
"0500000US12095","Orange County, Florida","41430","953","50195","2307","61771","1424","15580","1929","34700","2370","47726","2477","14559","1650"
"0500000US12097","Osceola County, Florida","31788","2102","38754","5993","49865","8296","13769","5048","27343","3624","43765","4821","12957","2137"
"0500000US12099","Palm Beach County, Florida","41904","803","50864","1174","63501","4538","15700","1107","35398","1683","50706","1044","15005","1262"
"0500000US12101","Pasco County, Florida","35012","1802","40342","1436","50586","1842","12268","1542","29537","2690","41915","2029","12127","1051"
"0500000US12103","Pinellas County, Florida","35485","1269","40127","2769","51519","1313","13308","1863","32266","1172","43871","3071","13939","1520"
"0500000US12105","Polk County, Florida","33426","1812","40488","944","47095","1869","11999","1043","28547","2735","35430","2727","12122","1077"
"0500000US12107","Putnam County, Florida","25992","2723","29681","6519","44340","7540","9015","3869","22332","4642","32368","6386","11756","4922"
"0500000US12109","St. Johns County, Florida","40616","2729","51758","4685","72395","5899","15589","2452","31682","2239","49225","6021","13906","2627"
"0500000US12111","St. Lucie County, Florida","32306","2487","38276","5706","51369","5697","10337","2115","29313","2651","40778","3481","11188","1900"
