SCH_YEAR,CNTYNO,CNTYNAME,DIST_NUMBER,DIST_NAME,SCH_NUMBER,SCH_NAME,SCH_CD,STATE_SCH_ID,NCESID,COOP,COOP_CODE,DEMOGRAPHIC,SUPPRESSED4YR,GRADS4YR,COHORT4YR,GRADRATE4YR,SUPPRESSED5YR,GRADS5YR,COHORT5YR,GRADRATE5YR
20172018,003,ANDERSON,011,Anderson County,,---District Total---,011,,,CKEC,901,LEN,N,278,293,94.9,N,267,271,98.5
20172018,003,ANDERSON,011,Anderson County,,---District Total---,011,,,CKEC,901,HOM,Y,,1,,Y,,2,
20172018,003,ANDERSON,011,Anderson County,,---District Total---,011,,,CKEC,901,ETW,N,257,272,94.5,N,252,256,98.4
20172018,003,ANDERSON,011,Anderson County,,---District Total---,011,,,CKEC,901,ETP,,,0,,,,0,
20172018,003,ANDERSON,011,Anderson County,,---District Total---,011,,,CKEC,901,ETO,Y,,8,,N,10,10,100.0
20172018,003,ANDERSON,011,Anderson County,,---District Total---,011,,,CKEC,901,ETI,Y,,1,,,,0,
20172018,003,ANDERSON,011,Anderson County,,---District Total---,011,,,CKEC,901,ETH,Y,,9,,Y,,4,
20172018,003,ANDERSON,011,Anderson County,,---District Total---,011,,,CKEC,901,ETB,Y,,2,,Y,,1,
20172018,003,ANDERSON,011,Anderson County,,---District Total---,011,,,CKEC,901,ETA,Y,,1,,,,0,
20172018,003,ANDERSON,011,Anderson County,,---District Total---,011,,,CKEC,901,ELM,Y,,1,,Y,,1,
20172018,003,ANDERSON,011,Anderson County,,---District Total---,011,,,CKEC,901,CSG,N,38,42,90.5,N,36,36,100.0
20172018,003,ANDERSON,011,Anderson County,,---District Total---,011,,,CKEC,901,ACO,N,258,269,95.9,N,245,249,98.4
