SCH_YEAR,CNTYNO,CNTYNAME,DIST_NUMBER,DIST_NAME,SCH_NUMBER,SCH_NAME,SCH_CD,STATE_SCH_ID,NCESID,COOP,COOP_CODE,DEMOGRAPHIC,SUPPRESSED,GRADS,ACADEMIC,ACADEMICALT,CAREER,CAREERALT,NONDUP,EL,BONUS,TRANSITIONRATE,TRANRATEWBONUS
20172018,010,BOYD,012,Ashland Independent,010,Paul G. Blazer High School,012010,010012010,210015000022,KEDC,903,FOS,Y,0,,,,,,,,,
20172018,010,BOYD,012,Ashland Independent,010,Paul G. Blazer High School,012010,010012010,210015000022,KEDC,903,ETW,N,135,70,0,40,0,85,0,1,63,63.1
20172018,010,BOYD,012,Ashland Independent,010,Paul G. Blazer High School,012010,010012010,210015000022,KEDC,903,ETP,Y,0,,,,,,,,,
20172018,010,BOYD,012,Ashland Independent,010,Paul G. Blazer High School,012010,010012010,210015000022,KEDC,903,ETO,Y,5,,,,,,,,,
20172018,010,BOYD,012,Ashland Independent,010,Paul G. Blazer High School,012010,010012010,210015000022,KEDC,903,ETI,Y,0,,,,,,,,,
20172018,010,BOYD,012,Ashland Independent,010,Paul G. Blazer High School,012010,010012010,210015000022,KEDC,903,ETH,Y,2,,,,,,,,,
20172018,010,BOYD,012,Ashland Independent,010,Paul G. Blazer High School,012010,010012010,210015000022,KEDC,903,ETB,Y,9,,,,,,,,,
20172018,010,BOYD,012,Ashland Independent,010,Paul G. Blazer High School,012010,010012010,210015000022,KEDC,903,ETA,Y,1,,,,,,,,,
20172018,010,BOYD,012,Ashland Independent,010,Paul G. Blazer High School,012010,010012010,210015000022,KEDC,903,ELM,Y,2,,,,,,,,,
20172018,010,BOYD,012,Ashland Independent,010,Paul G. Blazer High School,012010,010012010,210015000022,KEDC,903,CSG,N,23,10,0,6,0,12,0,0,52.2,52.2
20172018,010,BOYD,012,Ashland Independent,,---District Total---,012,,,KEDC,903,ACD,Y,8,,,,,,,,,
20172018,010,BOYD,012,Ashland Independent,,---District Total---,012,,,KEDC,903,TST,N,152,81,0,45,0,97,0,1,63.8,64
20172018,010,BOYD,012,Ashland Independent,,---District Total---,012,,,KEDC,903,SXF,N,72,39,0,21,0,48,0,0,66.7,66.7
20172018,010,BOYD,012,Ashland Independent,,---District Total---,012,,,KEDC,903,MIL,Y,0,,,,,,,,,
20172018,010,BOYD,012,Ashland Independent,,---District Total---,012,,,KEDC,903,MIG,Y,0,,,,,,,,,
20172018,010,BOYD,012,Ashland Independent,,---District Total---,012,,,KEDC,903,LUP,N,84,38,0,24,0,47,0,1,56,56.3
20172018,010,BOYD,012,Ashland Independent,,---District Total---,012,,,KEDC,903,LUN,N,68,43,0,21,0,50,0,0,73.5,73.5
20172018,010,BOYD,012,Ashland Independent,,---District Total---,012,,,KEDC,903,LEP,Y,2,,,,,,,,,
20172018,010,BOYD,012,Ashland Independent,,---District Total---,012,,,KEDC,903,LEN,Y,150,,,,,,,,,
20172018,010,BOYD,012,Ashland Independent,,---District Total---,012,,,KEDC,903,HOM,Y,5,,,,,,,,,
20172018,010,BOYD,012,Ashland Independent,,---District Total---,012,,,KEDC,903,FOS,Y,0,,,,,,,,,
20172018,010,BOYD,012,Ashland Independent,,---District Total---,012,,,KEDC,903,ETW,N,135,70,0,40,0,85,0,1,63,63.1
20172018,010,BOYD,012,Ashland Independent,,---District Total---,012,,,KEDC,903,ETP,Y,0,,,,,,,,,
20172018,010,BOYD,012,Ashland Independent,,---District Total---,012,,,KEDC,903,ETO,Y,5,,,,,,,,,
20172018,010,BOYD,012,Ashland Independent,,---District Total---,012,,,KEDC,903,ETI,Y,0,,,,,,,,,
20172018,010,BOYD,012,Ashland Independent,,---District Total---,012,,,KEDC,903,ETH,Y,2,,,,,,,,,
20172018,010,BOYD,012,Ashland Independent,,---District Total---,012,,,KEDC,903,ETB,Y,9,,,,,,,,,
20172018,010,BOYD,012,Ashland Independent,,---District Total---,012,,,KEDC,903,ETA,Y,1,,,,,,,,,
20172018,010,BOYD,012,Ashland Independent,,---District Total---,012,,,KEDC,903,ELM,Y,2,,,,,,,,,
20172018,010,BOYD,012,Ashland Independent,,---District Total---,012,,,KEDC,903,CSG,N,23,10,0,6,0,12,0,0,52.2,52.2
20172018,010,BOYD,012,Ashland Independent,,---District Total---,012,,,KEDC,903,ACO,Y,144,,,,,,,,,
20172018,010,BOYD,012,Ashland Independent,,---District Total---,012,,,KEDC,903,SXM,N,80,42,0,24,0,49,0,1,61.3,61.6
20172018,012,BRACKEN,013,Augusta Independent,011,Augusta Independent School,013011,012013011,210018001968,KEDC,903,ACD,Y,2,,,,,,,,,
20172018,012,BRACKEN,013,Augusta Independent,011,Augusta Independent School,013011,012013011,210018001968,KEDC,903,ACO,Y,18,,,,,,,,,
20172018,012,BRACKEN,013,Augusta Independent,011,Augusta Independent School,013011,012013011,210018001968,KEDC,903,CSG,Y,2,,,,,,,,,
20172018,012,BRACKEN,013,Augusta Independent,011,Augusta Independent School,013011,012013011,210018001968,KEDC,903,ELM,Y,0,,,,,,,,,
20172018,012,BRACKEN,013,Augusta Independent,011,Augusta Independent School,013011,012013011,210018001968,KEDC,903,ETA,Y,0,,,,,,,,,
20172018,012,BRACKEN,013,Augusta Independent,011,Augusta Independent School,013011,012013011,210018001968,KEDC,903,ETB,Y,0,,,,,,,,,
20172018,012,BRACKEN,013,Augusta Independent,011,Augusta Independent School,013011,012013011,210018001968,KEDC,903,ETH,Y,0,,,,,,,,,
20172018,012,BRACKEN,013,Augusta Independent,011,Augusta Independent School,013011,012013011,210018001968,KEDC,903,ETI,Y,0,,,,,,,,,
20172018,012,BRACKEN,013,Augusta Independent,011,Augusta Independent School,013011,012013011,210018001968,KEDC,903,ETO,Y,0,,,,,,,,,
