State code (STATEFIP),State name,PUMA of Migration (MIGPUMA or MIGPUMA1),PUMA (PUMA)
48,Texas,300,300
48,Texas,400,400
48,Texas,500,00501-00502
48,Texas,600,600
48,Texas,700,700
48,Texas,800,800
48,Texas,900,900
48,Texas,1000,1000
48,Texas,1100,1100
48,Texas,1200,1200
48,Texas,1300,1300
48,Texas,1400,1400
48,Texas,1500,1500
48,Texas,1600,1600
48,Texas,1700,1700
48,Texas,1800,1800
48,Texas,1900,1900
48,Texas,2000,2000
48,Texas,2100,02101-02104
48,Texas,2200,02201-02202
48,Texas,2300,02301-02315
48,Texas,2400,2400
48,Texas,2500,02501-02511
48,Texas,2600,2600
48,Texas,2700,2700
48,Texas,2800,2800
48,Texas,2900,2900
48,Texas,3000,3000
48,Texas,3100,3100
48,Texas,3200,3200
48,Texas,3300,3300
48,Texas,3400,3400
48,Texas,3500,03501-03505
48,Texas,3600,3600
48,Texas,3700,03701-03703
48,Texas,3800,03801-03802
48,Texas,3900,3900
48,Texas,4000,4000
48,Texas,4100,4100
48,Texas,4200,4200
48,Texas,4390,04300-04400
48,Texas,4500,04501-04503
48,Texas,4600,04601-04625
48,Texas,4700,04701-04702
48,Texas,4800,04801-04802
48,Texas,4900,04901-04902
48,Texas,5000,5000
48,Texas,5100,5100
48,Texas,5200,05201-05202
48,Texas,5390,05301-05402
48,Texas,5500,5500
48,Texas,5600,05601-05611
48,Texas,5700,5700
48,Texas,5800,5800
48,Texas,5900,5900
48,Texas,6000,6000
48,Texas,6100,6100
48,Texas,6200,6200
48,Texas,6390,06301-06500
48,Texas,6690,06600-06704
48,Texas,6890,06800-06900
49,Utah,100,100
49,Utah,200,200
49,Utah,300,00301-00302
49,Utah,400,400
49,Utah,500,00501-00507
49,Utah,600,00601-00603
49,Utah,700,700
50,Vermont,100,100
50,Vermont,200,200
50,Vermont,300,300
50,Vermont,400,400
51,Virginia,100,100
51,Virginia,200,200
51,Virginia,300,00301-00305
51,Virginia,400,400
51,Virginia,500,00501-00502
51,Virginia,600,600
51,Virginia,700,700
51,Virginia,800,800
51,Virginia,900,900
51,Virginia,1000,1000
51,Virginia,1100,1100
51,Virginia,1200,1200
51,Virginia,1300,1300
51,Virginia,1400,1400
51,Virginia,1500,1500
51,Virginia,1600,1600
51,Virginia,1700,1700
51,Virginia,1800,1800
51,Virginia,1900,1900
51,Virginia,2000,2000
51,Virginia,2100,2100
51,Virginia,2200,2200
51,Virginia,2300,2300
51,Virginia,2400,2400
51,Virginia,2500,2500
51,Virginia,2600,2600
51,Virginia,2700,2700
51,Virginia,2800,02801-02803
51,Virginia,2900,2900
51,Virginia,3000,3000
51,Virginia,3100,3100
51,Virginia,3200,3200
51,Virginia,3300,3300
51,Virginia,3400,3400
51,Virginia,3500,3500
53,Washington,100,100
53,Washington,200,200
53,Washington,300,300
53,Washington,400,400
53,Washington,590,00500-00602
53,Washington,700,700
53,Washington,800,800
53,Washington,900,00901-00902
53,Washington,1000,01001-01005
53,Washington,1100,1100
53,Washington,1200,01201-01202
53,Washington,1390,01300-01404
53,Washington,1500,1500
53,Washington,1600,1600
53,Washington,1700,01701-01702
53,Washington,1890,01801-02009
53,Washington,2190,02101-02200
54,West Virginia,100,100
54,West Virginia,200,200
54,West Virginia,300,300
54,West Virginia,400,400
54,West Virginia,500,500
54,West Virginia,600,600
54,West Virginia,700,700
54,West Virginia,800,800
54,West Virginia,900,900
54,West Virginia,1000,1000
54,West Virginia,1100,1100
54,West Virginia,1200,1200
55,Wisconsin,100,100
55,Wisconsin,290,00200-00300
55,Wisconsin,400,400
55,Wisconsin,500,500
55,Wisconsin,600,600
55,Wisconsin,700,700
55,Wisconsin,800,800
55,Wisconsin,900,900
55,Wisconsin,1000,1000
55,Wisconsin,1190,01100-01200
55,Wisconsin,1300,1300
55,Wisconsin,1400,1400
55,Wisconsin,1500,1500
55,Wisconsin,1600,1600
55,Wisconsin,1700,1700
55,Wisconsin,1800,1800
55,Wisconsin,1900,1900
55,Wisconsin,2090,02001-02300
55,Wisconsin,2400,2400
55,Wisconsin,2500,2500
56,Wyoming,100,100
56,Wyoming,200,200
56,Wyoming,300,300
56,Wyoming,400,400
72,Puerto Rico,100,100
72,Puerto Rico,200,200
72,Puerto Rico,300,300
